section,scope,metric,value
config,n/a,output_dir,/Users/Hoshino/Desktop/privacy_llm_obfuscation/outputs
config,n/a,seed,2026
config,n/a,d_in,32
config,n/a,d_out,16
config,n/a,true_ranks,2|4|8
config,n/a,padded_rank,16
config,n/a,alpha,1.0
config,n/a,use_bias,True
config,n/a,num_trials,32
config,n/a,pad_scale,1.0
config,n/a,dummy_scale,1.0
config,n/a,dummy_strategy,paired_cancellation_dummy
config,n/a,use_pad,True
config,n/a,dtype,float64
config,n/a,device,cpu
config,n/a,membership_trials_per_sample,8
shape_level_rank_leakage,no_padding.true_rank_2,true_rank,2
shape_level_rank_leakage,no_padding.true_rank_2,rank_visible_from_a_shape,2
shape_level_rank_leakage,no_padding.true_rank_2,rank_visible_from_b_shape,2
shape_level_rank_leakage,no_padding.true_rank_2,rank_visible_from_grad_shape,2
shape_level_rank_leakage,no_padding.true_rank_2,exposed_rank_value,2
shape_level_rank_leakage,no_padding.true_rank_2,true_rank_hidden_from_shape,False
shape_level_rank_leakage,no_padding.true_rank_4,true_rank,4
shape_level_rank_leakage,no_padding.true_rank_4,rank_visible_from_a_shape,4
shape_level_rank_leakage,no_padding.true_rank_4,rank_visible_from_b_shape,4
shape_level_rank_leakage,no_padding.true_rank_4,rank_visible_from_grad_shape,4
shape_level_rank_leakage,no_padding.true_rank_4,exposed_rank_value,4
shape_level_rank_leakage,no_padding.true_rank_4,true_rank_hidden_from_shape,False
shape_level_rank_leakage,no_padding.true_rank_8,true_rank,8
shape_level_rank_leakage,no_padding.true_rank_8,rank_visible_from_a_shape,8
shape_level_rank_leakage,no_padding.true_rank_8,rank_visible_from_b_shape,8
shape_level_rank_leakage,no_padding.true_rank_8,rank_visible_from_grad_shape,8
shape_level_rank_leakage,no_padding.true_rank_8,exposed_rank_value,8
shape_level_rank_leakage,no_padding.true_rank_8,true_rank_hidden_from_shape,False
shape_level_rank_leakage,rank_padding.true_rank_2,true_rank,2
shape_level_rank_leakage,rank_padding.true_rank_2,rank_visible_from_a_shape,16
shape_level_rank_leakage,rank_padding.true_rank_2,rank_visible_from_b_shape,16
shape_level_rank_leakage,rank_padding.true_rank_2,rank_visible_from_grad_shape,16
shape_level_rank_leakage,rank_padding.true_rank_2,exposed_rank_value,16
shape_level_rank_leakage,rank_padding.true_rank_2,true_rank_hidden_from_shape,True
shape_level_rank_leakage,rank_padding.true_rank_4,true_rank,4
shape_level_rank_leakage,rank_padding.true_rank_4,rank_visible_from_a_shape,16
shape_level_rank_leakage,rank_padding.true_rank_4,rank_visible_from_b_shape,16
shape_level_rank_leakage,rank_padding.true_rank_4,rank_visible_from_grad_shape,16
shape_level_rank_leakage,rank_padding.true_rank_4,exposed_rank_value,16
shape_level_rank_leakage,rank_padding.true_rank_4,true_rank_hidden_from_shape,True
shape_level_rank_leakage,rank_padding.true_rank_8,true_rank,8
shape_level_rank_leakage,rank_padding.true_rank_8,rank_visible_from_a_shape,16
shape_level_rank_leakage,rank_padding.true_rank_8,rank_visible_from_b_shape,16
shape_level_rank_leakage,rank_padding.true_rank_8,rank_visible_from_grad_shape,16
shape_level_rank_leakage,rank_padding.true_rank_8,exposed_rank_value,16
shape_level_rank_leakage,rank_padding.true_rank_8,true_rank_hidden_from_shape,True
spectral_rank_inference,no_padding.true_rank_2,inferred_rank_mean,1.0
spectral_rank_inference,no_padding.true_rank_2,rank_inference_accuracy,0.0
spectral_rank_inference,no_padding.true_rank_2,mean_rank_error,1.0
spectral_rank_inference,no_padding.true_rank_2,confidence_gap,0.7321150503103696
spectral_rank_inference,rank_padding.true_rank_2,inferred_rank_from_a_tilde_pad_mean,9.0
spectral_rank_inference,rank_padding.true_rank_2,inferred_rank_from_b_tilde_pad_mean,9.0
spectral_rank_inference,rank_padding.true_rank_2,inferred_rank_from_grad_b_tilde_pad_mean,8.0
spectral_rank_inference,rank_padding.true_rank_2,rank_inference_accuracy,0.0
spectral_rank_inference,rank_padding.true_rank_2,mean_rank_error,7.0
spectral_rank_inference,rank_padding.true_rank_2,confidence_gap_a,2.2661208876081245e-15
spectral_rank_inference,rank_padding.true_rank_2,confidence_gap_b,5.317127512382826e-15
spectral_rank_inference,rank_padding.true_rank_2,confidence_gap_grad_b,8.392166995651151e-15
spectral_rank_inference,rank_padding.true_rank_2,risk_level,needs_more_evaluation
spectral_rank_inference,rank_padding.true_rank_2,verdict,"Spectral attacker recovers true rank in fewer than 20% of trials. The inferred rank may still be an upper bound constrained by paired-cancellation structure; this is a proxy result, not a formal claim."
spectral_rank_inference,no_padding.true_rank_4,inferred_rank_mean,2.28125
spectral_rank_inference,no_padding.true_rank_4,rank_inference_accuracy,0.0
spectral_rank_inference,no_padding.true_rank_4,mean_rank_error,1.71875
spectral_rank_inference,no_padding.true_rank_4,confidence_gap,0.6819769808731494
spectral_rank_inference,rank_padding.true_rank_4,inferred_rank_from_a_tilde_pad_mean,10.0
spectral_rank_inference,rank_padding.true_rank_4,inferred_rank_from_b_tilde_pad_mean,10.0
spectral_rank_inference,rank_padding.true_rank_4,inferred_rank_from_grad_b_tilde_pad_mean,8.0
spectral_rank_inference,rank_padding.true_rank_4,rank_inference_accuracy,0.0
spectral_rank_inference,rank_padding.true_rank_4,mean_rank_error,6.0
spectral_rank_inference,rank_padding.true_rank_4,confidence_gap_a,1.961529797841614e-15
spectral_rank_inference,rank_padding.true_rank_4,confidence_gap_b,6.8880980094657286e-15
spectral_rank_inference,rank_padding.true_rank_4,confidence_gap_grad_b,5.58712459358282e-15
spectral_rank_inference,rank_padding.true_rank_4,risk_level,needs_more_evaluation
spectral_rank_inference,rank_padding.true_rank_4,verdict,"Spectral attacker recovers true rank in fewer than 20% of trials. The inferred rank may still be an upper bound constrained by paired-cancellation structure; this is a proxy result, not a formal claim."
spectral_rank_inference,no_padding.true_rank_8,inferred_rank_mean,6.09375
spectral_rank_inference,no_padding.true_rank_8,rank_inference_accuracy,0.0
spectral_rank_inference,no_padding.true_rank_8,mean_rank_error,1.90625
spectral_rank_inference,no_padding.true_rank_8,confidence_gap,0.6579546984359672
spectral_rank_inference,rank_padding.true_rank_8,inferred_rank_from_a_tilde_pad_mean,12.0
spectral_rank_inference,rank_padding.true_rank_8,inferred_rank_from_b_tilde_pad_mean,12.0
spectral_rank_inference,rank_padding.true_rank_8,inferred_rank_from_grad_b_tilde_pad_mean,8.0
spectral_rank_inference,rank_padding.true_rank_8,rank_inference_accuracy,0.0
spectral_rank_inference,rank_padding.true_rank_8,mean_rank_error,4.0
spectral_rank_inference,rank_padding.true_rank_8,confidence_gap_a,1.6126238175149427e-15
spectral_rank_inference,rank_padding.true_rank_8,confidence_gap_b,7.257029189815088e-15
spectral_rank_inference,rank_padding.true_rank_8,confidence_gap_grad_b,4.693468097474983e-15
spectral_rank_inference,rank_padding.true_rank_8,risk_level,needs_more_evaluation
spectral_rank_inference,rank_padding.true_rank_8,verdict,"Spectral attacker recovers true rank in fewer than 20% of trials. The inferred rank may still be an upper bound constrained by paired-cancellation structure; this is a proxy result, not a formal claim."
gradient_rank_inference,true_rank_2,inferred_rank_from_grad_a_tilde_pad_mean,8.0
gradient_rank_inference,true_rank_2,inferred_rank_from_grad_b_tilde_pad_mean,8.0
gradient_rank_inference,true_rank_2,rank_inference_accuracy,0.0
gradient_rank_inference,true_rank_2,mean_rank_error_min_ab,6.0
gradient_rank_inference,true_rank_2,risk_level,needs_more_evaluation
gradient_rank_inference,true_rank_4,inferred_rank_from_grad_a_tilde_pad_mean,8.0
gradient_rank_inference,true_rank_4,inferred_rank_from_grad_b_tilde_pad_mean,8.0
gradient_rank_inference,true_rank_4,rank_inference_accuracy,0.0
gradient_rank_inference,true_rank_4,mean_rank_error_min_ab,4.0
gradient_rank_inference,true_rank_4,risk_level,needs_more_evaluation
gradient_rank_inference,true_rank_8,inferred_rank_from_grad_a_tilde_pad_mean,8.0
gradient_rank_inference,true_rank_8,inferred_rank_from_grad_b_tilde_pad_mean,8.0
gradient_rank_inference,true_rank_8,rank_inference_accuracy,1.0
gradient_rank_inference,true_rank_8,mean_rank_error_min_ab,0.0
gradient_rank_inference,true_rank_8,risk_level,high
membership_linkability,true_rank_2,same_sample_distance_mean,353.3884205574708
membership_linkability,true_rank_2,different_sample_distance_mean,354.55490884596963
membership_linkability,true_rank_2,membership_auc_proxy,0.5407366071428571
membership_linkability,true_rank_2,linkability_rank,0.08147321428571419
membership_linkability,true_rank_2,risk_level,low
membership_linkability,true_rank_4,same_sample_distance_mean,167.75496100175948
membership_linkability,true_rank_4,different_sample_distance_mean,166.91233990988476
