section,strategy,metric,value
config,n/a,output_dir,/Users/Hoshino/Desktop/privacy_llm_obfuscation/outputs
config,n/a,seed,2026
config,n/a,d_in,32
config,n/a,d_out,16
config,n/a,rank,4
config,n/a,alpha,1.0
config,n/a,use_bias,True
config,n/a,num_trials,32
config,n/a,pad_scale,1.0
config,n/a,dtype,float64
config,n/a,device,cpu
config,n/a,strategies,unmasked_gradient_baseline|fixed_masks_fixed_u|fresh_u_only|fresh_masks_fresh_u|fresh_masks_fresh_u_with_pad
config,n/a,membership_trials_per_sample,8
gradient_extraction,unmasked_gradient_baseline,grad_a_recovery_rel_l2_mean,0.0
gradient_extraction,unmasked_gradient_baseline,grad_a_recovery_rel_l2_min,0.0
gradient_extraction,unmasked_gradient_baseline,grad_b_recovery_rel_l2_mean,0.0
gradient_extraction,unmasked_gradient_baseline,grad_b_recovery_rel_l2_min,0.0
gradient_extraction,unmasked_gradient_baseline,grad_a_subspace_similarity_mean,1.0
gradient_extraction,unmasked_gradient_baseline,grad_b_subspace_similarity_mean,1.0
gradient_extraction,unmasked_gradient_baseline,grad_a_singular_value_similarity_mean,1.0
gradient_extraction,unmasked_gradient_baseline,grad_b_singular_value_similarity_mean,1.0
gradient_extraction,unmasked_gradient_baseline,gradient_norm_similarity_a_mean,1.0
gradient_extraction,unmasked_gradient_baseline,gradient_norm_similarity_b_mean,1.0
gradient_extraction,unmasked_gradient_baseline,rank_signature_a,4
gradient_extraction,unmasked_gradient_baseline,rank_signature_b,4
gradient_extraction,unmasked_gradient_baseline,configured_rank,4
gradient_extraction,unmasked_gradient_baseline,rank_visible_from_grad_shape,True
gradient_extraction,unmasked_gradient_baseline,num_trials,32
gradient_extraction,unmasked_gradient_baseline,exact_recovery,True
gradient_extraction,unmasked_gradient_baseline,interpretation,Gradient is fully exposed; attacker recovers grad_A / grad_B exactly.
gradient_extraction,fixed_masks_fixed_u,grad_a_recovery_rel_l2_mean,1.419789387170888
gradient_extraction,fixed_masks_fixed_u,grad_a_recovery_rel_l2_min,1.2888526508173201
gradient_extraction,fixed_masks_fixed_u,grad_b_recovery_rel_l2_mean,1.4004702132570983
gradient_extraction,fixed_masks_fixed_u,grad_b_recovery_rel_l2_min,1.2013472405354604
gradient_extraction,fixed_masks_fixed_u,grad_a_subspace_similarity_mean,0.2872718371329427
gradient_extraction,fixed_masks_fixed_u,grad_b_subspace_similarity_mean,0.43460972285208455
gradient_extraction,fixed_masks_fixed_u,grad_a_singular_value_similarity_mean,1.0
gradient_extraction,fixed_masks_fixed_u,grad_b_singular_value_similarity_mean,1.0
gradient_extraction,fixed_masks_fixed_u,gradient_norm_similarity_a_mean,0.9999999999999999
gradient_extraction,fixed_masks_fixed_u,gradient_norm_similarity_b_mean,0.9999999999999998
gradient_extraction,fixed_masks_fixed_u,rank_signature_a,4
gradient_extraction,fixed_masks_fixed_u,rank_signature_b,4
gradient_extraction,fixed_masks_fixed_u,configured_rank,4
gradient_extraction,fixed_masks_fixed_u,rank_visible_from_grad_shape,True
gradient_extraction,fixed_masks_fixed_u,num_trials,32
gradient_extraction,fixed_masks_fixed_u,exact_recovery,False
gradient_extraction,fixed_masks_fixed_u,interpretation,"Recovery error is large (rel L2 > 0.5) and subspace similarity is low; under this proxy, mask makes naive gradient extraction unreliable."
gradient_extraction,fresh_u_only,grad_a_recovery_rel_l2_mean,1.4030679105309432
gradient_extraction,fresh_u_only,grad_a_recovery_rel_l2_min,1.2353622432976397
gradient_extraction,fresh_u_only,grad_b_recovery_rel_l2_mean,1.4219976298902344
gradient_extraction,fresh_u_only,grad_b_recovery_rel_l2_min,1.1872722626463807
gradient_extraction,fresh_u_only,grad_a_subspace_similarity_mean,0.28796704820613506
gradient_extraction,fresh_u_only,grad_b_subspace_similarity_mean,0.42411342411617015
gradient_extraction,fresh_u_only,grad_a_singular_value_similarity_mean,1.0
gradient_extraction,fresh_u_only,grad_b_singular_value_similarity_mean,1.0
gradient_extraction,fresh_u_only,gradient_norm_similarity_a_mean,0.9999999999999999
gradient_extraction,fresh_u_only,gradient_norm_similarity_b_mean,0.9999999999999998
gradient_extraction,fresh_u_only,rank_signature_a,4
gradient_extraction,fresh_u_only,rank_signature_b,4
gradient_extraction,fresh_u_only,configured_rank,4
gradient_extraction,fresh_u_only,rank_visible_from_grad_shape,True
gradient_extraction,fresh_u_only,num_trials,32
gradient_extraction,fresh_u_only,exact_recovery,False
gradient_extraction,fresh_u_only,interpretation,"Recovery error is large (rel L2 > 0.5) and subspace similarity is low; under this proxy, mask makes naive gradient extraction unreliable."
gradient_extraction,fresh_masks_fresh_u,grad_a_recovery_rel_l2_mean,1.413532946484716
gradient_extraction,fresh_masks_fresh_u,grad_a_recovery_rel_l2_min,1.31929931593581
gradient_extraction,fresh_masks_fresh_u,grad_b_recovery_rel_l2_mean,1.425071013731403
gradient_extraction,fresh_masks_fresh_u,grad_b_recovery_rel_l2_min,1.2262678271657783
gradient_extraction,fresh_masks_fresh_u,grad_a_subspace_similarity_mean,0.28495030541408595
gradient_extraction,fresh_masks_fresh_u,grad_b_subspace_similarity_mean,0.4226518695018726
gradient_extraction,fresh_masks_fresh_u,grad_a_singular_value_similarity_mean,1.0
gradient_extraction,fresh_masks_fresh_u,grad_b_singular_value_similarity_mean,1.0
gradient_extraction,fresh_masks_fresh_u,gradient_norm_similarity_a_mean,0.9999999999999999
gradient_extraction,fresh_masks_fresh_u,gradient_norm_similarity_b_mean,0.9999999999999998
gradient_extraction,fresh_masks_fresh_u,rank_signature_a,4
gradient_extraction,fresh_masks_fresh_u,rank_signature_b,4
gradient_extraction,fresh_masks_fresh_u,configured_rank,4
gradient_extraction,fresh_masks_fresh_u,rank_visible_from_grad_shape,True
gradient_extraction,fresh_masks_fresh_u,num_trials,32
gradient_extraction,fresh_masks_fresh_u,exact_recovery,False
gradient_extraction,fresh_masks_fresh_u,interpretation,"Recovery error is large (rel L2 > 0.5) and subspace similarity is low; under this proxy, mask makes naive gradient extraction unreliable."
gradient_extraction,fresh_masks_fresh_u_with_pad,grad_a_recovery_rel_l2_mean,1.7593118247863317
gradient_extraction,fresh_masks_fresh_u_with_pad,grad_a_recovery_rel_l2_min,1.583685308150397
gradient_extraction,fresh_masks_fresh_u_with_pad,grad_b_recovery_rel_l2_mean,1.7672662329935094
gradient_extraction,fresh_masks_fresh_u_with_pad,grad_b_recovery_rel_l2_min,1.2867948288527167
gradient_extraction,fresh_masks_fresh_u_with_pad,grad_a_subspace_similarity_mean,0.2812429286030951
gradient_extraction,fresh_masks_fresh_u_with_pad,grad_b_subspace_similarity_mean,0.43166163746759284
gradient_extraction,fresh_masks_fresh_u_with_pad,grad_a_singular_value_similarity_mean,0.9960797888270129
gradient_extraction,fresh_masks_fresh_u_with_pad,grad_b_singular_value_similarity_mean,0.9857097103810208
gradient_extraction,fresh_masks_fresh_u_with_pad,gradient_norm_similarity_a_mean,0.6939122230809036
gradient_extraction,fresh_masks_fresh_u_with_pad,gradient_norm_similarity_b_mean,0.6929180811907301
gradient_extraction,fresh_masks_fresh_u_with_pad,rank_signature_a,4
gradient_extraction,fresh_masks_fresh_u_with_pad,rank_signature_b,4
gradient_extraction,fresh_masks_fresh_u_with_pad,configured_rank,4
gradient_extraction,fresh_masks_fresh_u_with_pad,rank_visible_from_grad_shape,True
gradient_extraction,fresh_masks_fresh_u_with_pad,num_trials,32
gradient_extraction,fresh_masks_fresh_u_with_pad,exact_recovery,False
gradient_extraction,fresh_masks_fresh_u_with_pad,interpretation,"Recovery error is large (rel L2 > 0.5) and subspace similarity is low; under this proxy, mask makes naive gradient extraction unreliable."
gradient_leakage,unmasked_gradient_baseline,private_input_X.visibility,trusted
gradient_leakage,unmasked_gradient_baseline,private_input_X.contains_plaintext,True
gradient_leakage,unmasked_gradient_baseline,private_input_X.leakage_risk,high
gradient_leakage,unmasked_gradient_baseline,private_input_X.mitigation,Right-mask + optional input pad before backward.
gradient_leakage,unmasked_gradient_baseline,private_input_X.stage_7_1_status,covered
gradient_leakage,unmasked_gradient_baseline,private_target_Y.visibility,trusted
gradient_leakage,unmasked_gradient_baseline,private_target_Y.contains_plaintext,True
gradient_leakage,unmasked_gradient_baseline,private_target_Y.leakage_risk,low
gradient_leakage,unmasked_gradient_baseline,private_target_Y.mitigation,Stays trusted; loss G = dL/dY computed inside trusted side.
gradient_leakage,unmasked_gradient_baseline,private_target_Y.stage_7_1_status,covered
gradient_leakage,unmasked_gradient_baseline,adapter_A / adapter_B.visibility,trusted
gradient_leakage,unmasked_gradient_baseline,adapter_A / adapter_B.contains_plaintext,True
