stage,attack_family,target,strategy,metric,value,risk_level,recommendation,artifact_path,claim_supported
5.5,real_activation_adaptive_proxy,modern_decoder_block,ridge_linear_plus_mlp,linkability_auc,,needs_more_evaluation,fresh_perm + sandwich + pad,outputs/real_activation_attacks.json,proxy-supported only
5.5b,real_token_real_activation_proxy,modern_decoder_model_level,real_token_proxy,linkability_auc,,needs_more_evaluation,fresh_perm + sandwich + pad,outputs/real_token_activation_attacks.json,proxy-supported only
5.6,blackbox_query_attacker,modern_decoder_model_level,n/a,best_distinguishability,,low,exact-token-match guarantee,outputs/stronger_attackers.json,proxy-supported only
5.6,timing_sidechannel_proxy,modern_decoder_model_level,off,best_classification_accuracy,,,constant_time_decode_mode=proxy_equalized,outputs/stronger_attackers.json,proxy-supported only (cost-model)
7.0,lora_adapter_extraction,synthetic_lora_linear,fresh_masks_fresh_u_with_pad,linkability_auc_summary,fresh masks reduce membership-style linkability (Δ AUC = +0.463 vs fixed_masks_fixed_u).,needs_more_evaluation,fresh masks + pad,outputs/lora_security_proxy.json,proxy-supported only
7.1,lora_gradient_leakage,synthetic_lora_linear_backward,fresh_masks_fresh_u_with_pad,linkability_summary,fresh masks reduce gradient-side membership linkability (Δ AUC = +0.478 vs fixed_masks_fixed_u).,needs_more_evaluation,fresh masks + pad; rank still visible from shape,outputs/lora_gradient_security_proxy.json,proxy-supported only
7.2,spectral_rank_inference,rank_padded_lora,paired_cancellation_dummy,spectral_inference_summary,"Across true_ranks=[2, 4, 8] with dummy_strategy='paired_cancellation_dummy', the spectral rank inference risk is **needs_more_evaluation**.",needs_more_evaluation,use stronger dummy distributions (Stage 7.4),outputs/lora_rank_security_proxy.json,proxy-supported only
7.2,gradient_rank_inference,rank_padded_lora,paired_cancellation_dummy,gradient_inference_summary,Gradient-side spectral inference risk under the same dummy strategy is **high**.,high,use stronger dummy distributions (Stage 7.4),outputs/lora_rank_security_proxy.json,proxy-supported only
7.3,cross_layer_linkage,multi_layer_rank_padded_lora,fresh_masks_independent_u,cross_layer_linkage_summary,Cross-layer linkage risk under multi-layer strategies is **high** (worst-case).,high,fresh masks per module + paired cancellation,outputs/multilayer_lora_security_proxy.json,proxy-supported only
7.3,training_timing_sidechannel_proxy,lora_training_step_cost_model,proxy_equalized,max_classification_accuracy_proxy_equalized,0.5123697916666666,low,proxy_equalized constant-time mode,outputs/lora_training_timing_proxy.json,proxy-supported only (cost-model)
7.4,stronger_dummy::spectral_rank_inference,rank_padded_lora_with_stronger_dummies,ensemble,spectral_summary,Worst spectral rank inference risk across strategies: **high**.,high,spectrum_matched_dummy / mixed_dummy_ensemble,outputs/lora_stronger_dummy_security_proxy.json,proxy-supported only
7.4,stronger_dummy::gradient_rank_inference,rank_padded_lora_with_stronger_dummies,ensemble,gradient_summary,Worst gradient rank inference risk across strategies: **high**.,high,spectrum_matched_dummy / mixed_dummy_ensemble,outputs/lora_stronger_dummy_security_proxy.json,proxy-supported only
7.4,stronger_dummy::dummy_strategy_classification,rank_padded_lora_with_stronger_dummies,ensemble,dummy_strategy_classification_summary,"Dummy strategy classifier accuracy: 0.476 (chance 0.143), risk **medium**.",medium,spectrum_matched_dummy / mixed_dummy_ensemble,outputs/lora_stronger_dummy_security_proxy.json,proxy-supported only
7.4,stronger_dummy::cross_layer_linkage,rank_padded_lora_with_stronger_dummies,ensemble,cross_layer_linkage_summary,Worst cross-layer linkage risk across strategies: **low**.,low,spectrum_matched_dummy / mixed_dummy_ensemble,outputs/lora_stronger_dummy_security_proxy.json,proxy-supported only
