category,limitation,affected_claim,severity,paper_wording,artifact_support
workload_profile,Simulated TEE cost model — not real SGX wall-clock.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/workload_profile.json
workload_profile,"Wall time for tslp_baseline, ours_ideal, and amulet_style_reference is projected, not measured.",other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/workload_profile.json
workload_profile,"tiny-gpt2 (n_layer=2, n_embd=2, n_head=2) is far smaller than production GPT-2.",other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/workload_profile.json
workload_profile,FLOP / byte proxies use coarse constants; absolute numbers are illustrative.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/workload_profile.json
workload_profile,Qwen / Llama not yet covered — see Stage 5.4 roadmap.,full_model_lora_finetune,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/workload_profile.json
workload_profile,"amulet_style_reference is a reference cost model, not a re-implementation of any published system.",other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/workload_profile.json
nonlinear_island_security,"These experiments are security proxies, not formal security proofs.",formal_security,high,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/nonlinear_island_security.json
nonlinear_island_security,Compatible mask families are weaker than unrestricted dense masks inside nonlinear islands.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/nonlinear_island_security.json
nonlinear_island_security,Permutation islands hide channel identity but do not hide coordinate-value multisets.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/nonlinear_island_security.json
nonlinear_island_security,Orthogonal masks preserve row norms by design.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/nonlinear_island_security.json
nonlinear_island_security,Mean-preserving orthogonal masks preserve row means and centered norms by design.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/nonlinear_island_security.json
nonlinear_island_security,Fresh permutation reduces stable statistical recovery but does not provide dense linear mixing.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/nonlinear_island_security.json
nonlinear_island_security,Dense sandwiching and pad at Linear boundaries are required mitigations.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/nonlinear_island_security.json
nonlinear_island_security,This stage does not implement adaptive learned inversion attacks.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/nonlinear_island_security.json
nonlinear_island_security,This stage does not implement real TEE isolation.,real_tee_wall_time,high,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/nonlinear_island_security.json
nonlinear_island_security,This stage does not prove semantic security.,formal_security,high,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/nonlinear_island_security.json
adaptive_island_attacks,"These are adaptive/proxy attacks, not formal security proofs.",formal_security,high,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/adaptive_island_attacks.json
adaptive_island_attacks,"The attacks use synthetic structured channel data, not full real-model activation traces.",other,medium,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/adaptive_island_attacks.json
adaptive_island_attacks,No adaptive black-box querying of a deployed LLM is implemented.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/adaptive_island_attacks.json
adaptive_island_attacks,No side-channel attack is implemented.,hardware_sidechannel_security,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/adaptive_island_attacks.json
adaptive_island_attacks,No real TEE isolation is evaluated.,real_tee_wall_time,high,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/adaptive_island_attacks.json
adaptive_island_attacks,Dense sandwiching reduces tested recovery but does not imply semantic security.,formal_security,high,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/adaptive_island_attacks.json
adaptive_island_attacks,Default-on recommendations are conditional on the tested threat model only.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/adaptive_island_attacks.json
modern_decoder_probe,Compatible mask families are weaker than unrestricted dense masks.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/modern_decoder_probe.json
modern_decoder_probe,"Fresh permutation, dense sandwiching, and pad at Linear boundaries are required mitigations.",other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/modern_decoder_probe.json
modern_decoder_probe,Probe-level migration only — not a full Qwen / TinyLlama wrapper integration.,full_model_lora_finetune,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/modern_decoder_probe.json
modern_decoder_probe,No Qwen / TinyLlama generation path is implemented.,full_model_lora_finetune,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/modern_decoder_probe.json
modern_decoder_probe,"GQA / MQA is tensor-level only, not full runtime KV cache integration.",other,medium,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/modern_decoder_probe.json
modern_decoder_probe,Compatible islands inherit Stage 5.4 mitigation requirements: fresh permutation + dense sandwich + pad at Linear boundaries.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/modern_decoder_probe.json
modern_decoder_probe,This is not a real TEE measurement.,real_tee_wall_time,high,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/modern_decoder_probe.json
modern_decoder_probe,This is not formal security.,formal_security,high,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/modern_decoder_probe.json
real_activation_attacks,"These are real-activation adaptive proxy attacks, not formal security proofs.",formal_security,high,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/real_activation_attacks.json
real_activation_attacks,"If synthetic fallback is used, results are not real Qwen/TinyLlama activation traces.",full_model_lora_finetune,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/real_activation_attacks.json
real_activation_attacks,Random hidden-state block input is not the same as real token distribution unless tokenizer/embedding path is added.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/real_activation_attacks.json
real_activation_attacks,No black-box query attack is implemented.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/real_activation_attacks.json
real_activation_attacks,No side-channel attack is implemented.,hardware_sidechannel_security,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/real_activation_attacks.json
real_activation_attacks,No real TEE isolation is evaluated.,real_tee_wall_time,high,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/real_activation_attacks.json
real_activation_attacks,Dense sandwiching reduces tested recovery but does not imply semantic security.,formal_security,high,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/real_activation_attacks.json
real_activation_attacks,This stage does not implement full model-level generation or KV cache runtime.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/real_activation_attacks.json
real_activation_attacks,fresh_perm_only and fresh_perm_plus_sandwich_plus_pad share the same per-call mask sampling under the Stage 6.4b wrapper; the two bundles produce numerically identical traces. fixed_permutation_debug is a debug baseline only — never recommended for deployment.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/real_activation_attacks.json
real_token_activation_attacks,"These are real-token-prompted adaptive proxy attacks, not formal security proofs.",formal_security,high,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/real_token_activation_attacks.json
real_token_activation_attacks,"If synthetic token fallback is used, results are not real tokenizer-driven traces.",other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/real_token_activation_attacks.json
real_token_activation_attacks,"If synthetic model fallback is used, results are not real Qwen/TinyLlama traces.",full_model_lora_finetune,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/real_token_activation_attacks.json
real_token_activation_attacks,Prompt set is small and not representative of all user data.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/real_token_activation_attacks.json
real_token_activation_attacks,No black-box query attack is implemented.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/real_token_activation_attacks.json
real_token_activation_attacks,No side-channel attack is implemented.,hardware_sidechannel_security,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/real_token_activation_attacks.json
real_token_activation_attacks,No real TEE isolation is evaluated.,real_tee_wall_time,high,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/real_token_activation_attacks.json
real_token_activation_attacks,Dense sandwiching reduces tested recovery but does not imply semantic security.,formal_security,high,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/real_token_activation_attacks.json
real_token_activation_attacks,"This stage only evaluates greedy generation traces, not sampling / beam search / top-k / top-p.",other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/real_token_activation_attacks.json
real_token_activation_attacks,"Inter-block hidden states (boundary_input, final) are recovered to plain space between layers under the Stage 6.4c model-level wrapper; an attacker observing those boundaries sees plaintext. This is a known model-wrapper limitation, not a Stage 5.5b attacker finding.",other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/real_token_activation_attacks.json
real_token_activation_attacks,fresh_perm_only and fresh_perm_plus_sandwich_plus_pad share the same per-call mask sampling under the Stage 6.4c wrapper; the two bundles produce numerically identical traces for masked tensors.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/real_token_activation_attacks.json
stronger_attackers,"These are stronger proxy attacks, not formal security proofs.",formal_security,high,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/stronger_attackers.json
stronger_attackers,Black-box attacks only use generated outputs and logits summaries.,other,low,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/stronger_attackers.json
stronger_attackers,"Timing results are model-based proxies, not real TEE timing measurements.",real_tee_wall_time,high,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/stronger_attackers.json
stronger_attackers,No hardware side-channel attack is implemented.,hardware_sidechannel_security,medium,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/stronger_attackers.json
stronger_attackers,No real TEE isolation is evaluated.,real_tee_wall_time,high,Treat as a limitation in the paper's threat-model section; do not advertise the property it disclaims.,outputs/stronger_attackers.json
