file,line,phrase,classification,snippet
README.md,194,formal security,listed_as_unsafe_wording_to_avoid,"...m_only""`); does **not** claim formal security; security is `adaptive-proxy-..."
README.md,230,formal security,listed_as_unsafe_wording_to_avoid,"...rm_only""), does **not** claim formal security, and is **not** a real TEE me..."
README.md,258,semantic security,listed_as_unsafe_wording_to_avoid,"..., does **not** claim formal / semantic security, does **not** change the defa..."
README.md,268,formal security,listed_as_unsafe_wording_to_avoid,"...n adaptive proxy attacks, not formal security proofs"", ""Dense sandwiching r..."
README.md,268,semantic security,listed_as_unsafe_wording_to_avoid,"...d recovery but does not imply semantic security"", ""No real TEE isolation is e..."
README.md,284,semantic security,listed_as_unsafe_wording_to_avoid,"...5 does **not** claim formal / semantic security, does **not** flip `implement..."
README.md,294,formal security,listed_as_unsafe_wording_to_avoid,"...d adaptive proxy attacks, not formal security proofs"", ""synthetic token fal..."
README.md,294,formal security,listed_as_unsafe_wording_to_avoid,"...mply semantic security"", ""not formal security"", ""not a real TEE measurement..."
README.md,294,semantic security,listed_as_unsafe_wording_to_avoid,"...d recovery but does not imply semantic security"", ""not formal security"", ""not..."
README.md,312,semantic security,listed_as_unsafe_wording_to_avoid,"...b does **not** claim formal / semantic security, does **not** flip `implement..."
README.md,342,formal security,listed_as_unsafe_wording_to_avoid,"..._boundary""), and is **not** a formal security proof. Black-box attacker is..."
README.md,342,semantic security,listed_as_unsafe_wording_to_avoid,"...6 does **not** claim formal / semantic security, does **not** flip `implement..."
README.md,380,semantic security,listed_as_unsafe_wording_to_avoid,...d does **not** claim formal / semantic security. `security_profile` itself st...
README.md,404,semantic security,listed_as_unsafe_wording_to_avoid,...laim formal / cryptographic / semantic security; `security_profile` itself st...
README.md,423,semantic security,listed_as_unsafe_wording_to_avoid,...laim formal / cryptographic / semantic security. The microbenchmark uses ordi...
README.md,423,semantic security,listed_as_unsafe_wording_to_avoid,"...No formal, cryptographic, or semantic security is claimed. No real TEE or GP..."
