layer,proj,gradA_present,gradB_present
0,q_proj,True,True
0,k_proj,True,True
0,v_proj,True,True
0,o_proj,True,True
0,gate_proj,True,True
0,up_proj,True,True
0,down_proj,True,True
1,q_proj,True,True
1,k_proj,True,True
1,v_proj,True,True
1,o_proj,True,True
1,gate_proj,True,True
1,up_proj,True,True
1,down_proj,True,True
2,q_proj,True,True
2,k_proj,True,True
2,v_proj,True,True
2,o_proj,True,True
2,gate_proj,True,True
2,up_proj,True,True
2,down_proj,True,True
3,q_proj,True,True
3,k_proj,True,True
3,v_proj,True,True
3,o_proj,True,True
3,gate_proj,True,True
3,up_proj,True,True
3,down_proj,True,True
4,q_proj,True,True
4,k_proj,True,True
4,v_proj,True,True
4,o_proj,True,True
4,gate_proj,True,True
4,up_proj,True,True
4,down_proj,True,True
5,q_proj,True,True
5,k_proj,True,True
5,v_proj,True,True
5,o_proj,True,True
5,gate_proj,True,True
5,up_proj,True,True
5,down_proj,True,True
6,q_proj,True,True
6,k_proj,True,True
6,v_proj,True,True
6,o_proj,True,True
6,gate_proj,True,True
6,up_proj,True,True
6,down_proj,True,True
7,q_proj,True,True
7,k_proj,True,True
7,v_proj,True,True
7,o_proj,True,True
7,gate_proj,True,True
7,up_proj,True,True
7,down_proj,True,True
8,q_proj,True,True
8,k_proj,True,True
8,v_proj,True,True
8,o_proj,True,True
8,gate_proj,True,True
8,up_proj,True,True
8,down_proj,True,True
9,q_proj,True,True
9,k_proj,True,True
9,v_proj,True,True
9,o_proj,True,True
9,gate_proj,True,True
9,up_proj,True,True
9,down_proj,True,True
10,q_proj,True,True
10,k_proj,True,True
10,v_proj,True,True
10,o_proj,True,True
10,gate_proj,True,True
10,up_proj,True,True
10,down_proj,True,True
11,q_proj,True,True
11,k_proj,True,True
11,v_proj,True,True
11,o_proj,True,True
11,gate_proj,True,True
11,up_proj,True,True
11,down_proj,True,True
12,q_proj,True,True
12,k_proj,True,True
12,v_proj,True,True
12,o_proj,True,True
12,gate_proj,True,True
12,up_proj,True,True
12,down_proj,True,True
13,q_proj,True,True
13,k_proj,True,True
13,v_proj,True,True
13,o_proj,True,True
13,gate_proj,True,True
13,up_proj,True,True
13,down_proj,True,True
14,q_proj,True,True
14,k_proj,True,True
14,v_proj,True,True
14,o_proj,True,True
14,gate_proj,True,True
14,up_proj,True,True
14,down_proj,True,True
15,q_proj,True,True
15,k_proj,True,True
15,v_proj,True,True
15,o_proj,True,True
15,gate_proj,True,True
15,up_proj,True,True
15,down_proj,True,True
16,q_proj,True,True
16,k_proj,True,True
16,v_proj,True,True
16,o_proj,True,True
16,gate_proj,True,True
16,up_proj,True,True
16,down_proj,True,True
17,q_proj,True,True
17,k_proj,True,True
17,v_proj,True,True
17,o_proj,True,True
17,gate_proj,True,True
17,up_proj,True,True
17,down_proj,True,True
18,q_proj,True,True
18,k_proj,True,True
18,v_proj,True,True
18,o_proj,True,True
18,gate_proj,True,True
18,up_proj,True,True
18,down_proj,True,True
19,q_proj,True,True
19,k_proj,True,True
19,v_proj,True,True
19,o_proj,True,True
19,gate_proj,True,True
19,up_proj,True,True
19,down_proj,True,True
20,q_proj,True,True
20,k_proj,True,True
20,v_proj,True,True
20,o_proj,True,True
20,gate_proj,True,True
20,up_proj,True,True
20,down_proj,True,True
21,q_proj,True,True
21,k_proj,True,True
21,v_proj,True,True
21,o_proj,True,True
21,gate_proj,True,True
21,up_proj,True,True
21,down_proj,True,True
22,q_proj,True,True
22,k_proj,True,True
22,v_proj,True,True
22,o_proj,True,True
22,gate_proj,True,True
22,up_proj,True,True
22,down_proj,True,True
23,q_proj,True,True
23,k_proj,True,True
23,v_proj,True,True
23,o_proj,True,True
23,gate_proj,True,True
23,up_proj,True,True
23,down_proj,True,True
